Canonical Code,Organization / Unit Name,Entity Type,Level,Parent Code,Parent Name,Hierarchy Path,Code Status,Source Basis,Notes
TTMET,"Toyota Tsusho M&E (Thailand) Co.,Ltd.",COMPANY,1,,,"Toyota Tsusho M&E (Thailand) Co.,Ltd.",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
DIV-ME,Machinery & Engineering Division,DIVISION,2,TTMET,"Toyota Tsusho M&E (Thailand) Co.,Ltd.","Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMT0,Machinery Department,DEPARTMENT,3,DIV-ME,Machinery & Engineering Division,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Machinery Department",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMT1,Export,SECTION,4,TMT0,Machinery Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Machinery Department > Export",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMT1-MACH,Machine & Equipments,TEAM,5,TMT1,Export,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Machinery Department > Export > Machine & Equipments",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMT1-TRIAL,Tool Part & Project,TEAM,5,TMT1,Export,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Machinery Department > Export > Tool Part & Project",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMT2,Toyota Sales,SECTION,4,TMT0,Machinery Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Machinery Department > Toyota Sales",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMT2-TOYOTA,TOYOTA,TEAM,5,TMT2,Toyota Sales,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Machinery Department > Toyota Sales > TOYOTA",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMT2-STM,STM,TEAM,5,TMT2,Toyota Sales,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Machinery Department > Toyota Sales > STM",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMT2-LOGITIC,Logistics,TEAM,5,TMT2,Toyota Sales,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Machinery Department > Toyota Sales > Logistics",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,Spelling of code preserved exactly as supplied: LOGITIC
TMF0,Industrial Services Department,DEPARTMENT,3,DIV-ME,Machinery & Engineering Division,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Industrial Services Department",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMF1,Automotive,SECTION,4,TMF0,Industrial Services Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Industrial Services Department > Automotive",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMF1-AUTOMOTIVE,AUTOMOTIVE,TEAM,5,TMF1,Automotive,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Industrial Services Department > Automotive > AUTOMOTIVE",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMF2,Industry,SECTION,4,TMF0,Industrial Services Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Industrial Services Department > Industry",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMF2-INDUSTRY,INDUSTRY,TEAM,5,TMF2,Industry,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Industrial Services Department > Industry > INDUSTRY",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMF3,Sales Engineering,SECTION,4,TMF0,Industrial Services Department,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Industrial Services Department > Sales Engineering",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
TMF3-DENSO,DENSO,TEAM,5,TMF3,Sales Engineering,"Toyota Tsusho M&E (Thailand) Co.,Ltd. > Machinery & Engineering Division > Industrial Services Department > Sales Engineering > DENSO",APPROVED,User-approved hierarchy + Org.FY2026_Rev.2 PDF,
