record_id,revision,master_type,entity_code,title_th,title_en,parent_code,is_active
609,1,"POSITION","POS-057","Safety Officer","Safety Officer","","ACTIVE"
608,1,"POSITION","POS-056","DESIGN ENGINEER ASSISTANT MANAGER","DESIGN ENGINEER ASSISTANT MANAGER","","ACTIVE"
607,1,"POSITION","POS-055","Co Project Manager","Co Project Manager","","ACTIVE"
606,1,"POSITION","POS-054","Specialist","Specialist","","ACTIVE"
605,1,"POSITION","POS-053","Executive Management Coordinator","Executive Management Coordinator","","ACTIVE"
604,1,"POSITION","POS-052","President","President","","ACTIVE"
603,1,"POSITION","POS-051","Service Engineer","Service Engineer","","ACTIVE"
602,1,"POSITION","POS-050","Advisor","Advisor","","ACTIVE"
601,1,"POSITION","POS-049","Safety","Safety","","ACTIVE"
600,1,"POSITION","POS-048","Supoort Marketing Staff","Supoort Marketing Staff","","ACTIVE"
599,1,"POSITION","POS-047","Chief of Safety Officer","Chief of Safety Officer","","ACTIVE"
598,1,"POSITION","POS-046","Technical Staff","Technical Staff","","ACTIVE"
597,1,"POSITION","POS-045","Technical Service Chief","Technical Service Chief","","ACTIVE"
596,1,"POSITION","POS-044","Chief of Engineer","Chief of Engineer","","ACTIVE"
595,1,"POSITION","POS-043","Technical Service Engineer","Technical Service Engineer","","ACTIVE"
594,1,"POSITION","POS-042","Senior Manager","Senior Manager","","ACTIVE"
593,1,"POSITION","POS-041","Asst. Section Manager","Asst. Section Manager","","ACTIVE"
592,1,"POSITION","POS-040","Senior Specilaist","Senior Specilaist","","ACTIVE"
591,1,"POSITION","POS-039","Technical Chief","Technical Chief","","ACTIVE"
590,1,"POSITION","POS-038","Deputy General Manager","Deputy General Manager","","ACTIVE"
589,1,"POSITION","POS-037","Accounting Chief","Accounting Chief","","ACTIVE"
588,1,"POSITION","POS-036","Marketing Chief","Marketing Chief","","ACTIVE"
587,1,"POSITION","POS-035","Assistant Section Manager","Assistant Section Manager","","ACTIVE"
586,1,"POSITION","POS-034","Warehouse Support","Warehouse Support","","ACTIVE"
585,1,"POSITION","POS-033","Driver","Driver","","ACTIVE"
584,1,"POSITION","POS-032","General Manager","General Manager","","ACTIVE"
583,1,"POSITION","POS-031","Contract (Apite)","Contract (Apite)","","ACTIVE"
582,1,"POSITION","POS-030","Contract (Japan Support)","Contract (Japan Support)","","ACTIVE"
581,1,"POSITION","POS-029","Trainee","Trainee","","ACTIVE"
580,1,"POSITION","POS-028","IT Staff","IT Staff","","ACTIVE"
579,1,"POSITION","POS-027","General manager","General manager","","ACTIVE"
578,1,"POSITION","POS-026","Accounting Staff","Accounting Staff","","ACTIVE"
577,1,"POSITION","POS-025","Interpreter","Interpreter","","ACTIVE"
576,1,"POSITION","POS-024","Supoort Marketing Chief","Supoort Marketing Chief","","ACTIVE"
575,1,"POSITION","POS-023","Support Marketing Chief","Support Marketing Chief","","ACTIVE"
574,1,"POSITION","POS-022","Warehouse Staff","Warehouse Staff","","ACTIVE"
573,1,"POSITION","POS-021","Messenger","Messenger","","ACTIVE"
572,1,"POSITION","POS-020","Assistant Manager","Assistant Manager","","ACTIVE"
571,1,"POSITION","POS-019","Section Manager","Section Manager","","ACTIVE"
570,1,"POSITION","POS-018","Senior Chief","Senior Chief","","ACTIVE"
569,1,"POSITION","POS-017","Safety Officer& ISO Control","Safety Officer& ISO Control","","ACTIVE"
568,1,"POSITION","POS-016","Manager","Manager","","ACTIVE"
567,1,"POSITION","POS-015","Clerk","Clerk","","ACTIVE"
566,1,"POSITION","POS-014","Chief","Chief","","ACTIVE"
565,1,"POSITION","POS-013","Assistant Chief","Assistant Chief","","ACTIVE"
564,1,"POSITION","POS-012","Vice President","Vice President","","ACTIVE"
563,1,"POSITION","POS-011","Factory Manager","Factory Manager","","ACTIVE"
562,1,"POSITION","POS-010","Design Engineer","Design Engineer","","ACTIVE"
561,1,"POSITION","POS-009","CAM Staff","CAM Staff","","ACTIVE"
560,1,"POSITION","POS-008","Engineering Staff","Engineering Staff","","ACTIVE"
559,1,"POSITION","POS-007","Staff","Staff","","ACTIVE"
558,1,"POSITION","POS-006","Marketing Engineer","Marketing Engineer","","ACTIVE"
557,1,"POSITION","POS-005","Coordinator","Coordinator","","ACTIVE"
556,1,"POSITION","POS-004","Support Marketing Staff","Support Marketing Staff","","ACTIVE"
555,1,"POSITION","POS-003","Technician","Technician","","ACTIVE"
554,1,"POSITION","POS-002","Marketing Staff","Marketing Staff","","ACTIVE"
553,1,"POSITION","POS-001","Operator","Operator","","ACTIVE"
552,4,"DEPARTMENT","TMH3","Accounting & Finance","Accounting & Finance","TMH0","ACTIVE"
551,4,"DEPARTMENT","TMH2","HR & Personnel","HR & Personnel","TMH0","ACTIVE"
550,4,"DEPARTMENT","TMH1","GA","GA","TMH0","ACTIVE"
549,4,"DEPARTMENT","TMG2","Injection","Injection","TMG0","ACTIVE"
548,4,"DEPARTMENT","TMG1","Die Casting","Die Casting","TMG0","ACTIVE"
547,4,"DEPARTMENT","TMS1-SAFE","Safety Team","Safety Team","TMS1","ACTIVE"
546,4,"DEPARTMENT","TMS1-ENGI","Engineering Team","Engineering Team","TMS1","ACTIVE"
545,4,"DEPARTMENT","TMS1-PROJ","Project Team","Project Team","TMS1","ACTIVE"
544,4,"DEPARTMENT","TMS1","Technical Services","Technical Services","TMS0","ACTIVE"
543,4,"DEPARTMENT","TME3-MARK","Marketing (Eco Energy)","Marketing (Eco Energy)","TME3","ACTIVE"
542,4,"DEPARTMENT","TME3","Eco Energy & Textile Machinery","Eco Energy & Textile Machinery","TME1","ACTIVE"
541,4,"DEPARTMENT","TMF3-MARK","Marketing (Sales Engineering)","Marketing (Sales Engineering)","TMF3","ACTIVE"
540,4,"DEPARTMENT","TMF3-SALE","Sales","Sales","TMF3","ACTIVE"
539,4,"DEPARTMENT","TMF3","Sales Engineering","Sales Engineering","TMT0","ACTIVE"
538,4,"DEPARTMENT","TMF2-MARK","Marketing (Industry)","Marketing (Industry)","TMF2","ACTIVE"
537,4,"DEPARTMENT","TMF2","Industry","Industry","TMT0","ACTIVE"
536,4,"DEPARTMENT","TMF1-MARK","Marketing (Automotive)","Marketing (Automotive)","TMF1","ACTIVE"
535,4,"DEPARTMENT","TMF1","Automotive","Automotive","TMT0","ACTIVE"
534,4,"DEPARTMENT","TMT2-LOGI","Logistics","Logistics","TMT2","ACTIVE"
533,4,"DEPARTMENT","TMT2-STN","STN","STN","TMT2","ACTIVE"
532,4,"DEPARTMENT","TMT2-TOOL","Tooling","Tooling","TMT2","ACTIVE"
531,4,"DEPARTMENT","TMT2","Toyota Sales","Toyota Sales","TMT1","ACTIVE"
530,4,"DEPARTMENT","TMT1-TOOL","Tool Part & Project","Tool Part & Project","TMT1-EXP","ACTIVE"
529,4,"DEPARTMENT","TMT1-MACH","Machine & Equipments","Machine & Equipments","TMT1-EXP","ACTIVE"
528,4,"DEPARTMENT","TMT1-EXP","Export","Export","TMT1","ACTIVE"
527,4,"DEPARTMENT","TMG0","Mold & Engineering Department","Mold & Engineering Department","DIV-GS","ACTIVE"
526,4,"DEPARTMENT","TME1","Eco Energy & Textile Machinery Department","Eco Energy & Textile Machinery Department","DIV-ME","ACTIVE"
525,2,"DEPARTMENT","DIV-GS","GIFU SEIKI Division","GIFU SEIKI Division","TTMET","ACTIVE"
524,2,"DEPARTMENT","DIV-ME","Machinery & Engineering Division","Machinery & Engineering Division","TTMET","ACTIVE"
523,2,"DEPARTMENT","TTMET","Toyota Tsusho M&E (Thailand) Co.,Ltd.","Toyota Tsusho M&E (Thailand) Co.,Ltd.","ROOT","ACTIVE"
522,3,"POSITION","LEGACY-POS-271","Mr.Panukorn Sathron","MR.PANUKORN SATHRON","","INACTIVE"
